"player","number","team","position","height","weight","birth_date","country","experience","college","salary","rank","age","games","games_started","minutes","field_goals","field_goals_atts","field_goals_perc","points3","points3_atts","points3_perc","points2","points2_atts","points2_perc","effective_field_goal_perc","points1","points1_atts","points1_perc","off_rebounds","def_rebounds","total_rebounds","assists","steals","blocks","turnovers","fouls","points"
"Al Horford","42","BOS","C","6-10",245,"June 3, 1986","do","9","University of Florida",26540100,4,30,68,68,2193,379,801,0.473,86,242,0.355,293,559,0.524,0.527,108,135,0.8,95,370,465,337,52,86,115,138,952
"Amir Johnson","90","BOS","PF","6-9",240,"May 1, 1987","us","11","",1.2e+07,6,29,80,77,1608,213,370,0.576,27,66,0.409,186,304,0.612,0.612,67,100,0.67,118,248,366,140,51,62,77,211,520
"Avery Bradley","0","BOS","SG","6-2",180,"November 26, 1990","us","6","University of Texas at Austin",8269663,5,26,55,55,1835,359,775,0.463,108,277,0.39,251,498,0.504,0.533,68,93,0.731,65,269,334,122,68,11,88,141,894
"Demetrius Jackson","9","BOS","PG","6-1",201,"September 7, 1994","us","R","University of Notre Dame",1450000,15,22,5,0,17,3,4,0.75,1,1,1,2,3,0.667,0.875,3,6,0.5,2,2,4,3,0,0,0,0,10
"Gerald Green","30","BOS","SF","6-7",205,"January 26, 1986","us","9","",1410598,11,31,47,0,538,95,232,0.409,39,111,0.351,56,121,0.463,0.494,33,41,0.805,16,68,84,33,9,7,25,48,262
"Isaiah Thomas","4","BOS","PG","5-9",185,"February 7, 1989","us","5","University of Washington",6587132,1,27,76,76,2569,682,1473,0.463,245,646,0.379,437,827,0.528,0.546,590,649,0.909,43,162,205,448,70,13,210,167,2199
"Jae Crowder","99","BOS","SF","6-6",235,"July 6, 1990","us","4","Marquette University",6286408,3,26,72,72,2335,333,720,0.463,157,394,0.398,176,326,0.54,0.572,176,217,0.811,48,367,415,155,73,23,80,161,999
"James Young","13","BOS","SG","6-6",215,"August 16, 1995","us","2","University of Kentucky",1825200,13,21,29,0,220,25,58,0.431,12,35,0.343,13,23,0.565,0.534,6,9,0.667,6,20,26,4,10,2,4,15,68
"Jaylen Brown","7","BOS","SF","6-7",225,"October 24, 1996","us","R","University of California",4743000,8,20,78,20,1341,192,423,0.454,46,135,0.341,146,288,0.507,0.508,85,124,0.685,45,175,220,64,35,18,68,142,515
"Jonas Jerebko","8","BOS","PF","6-10",231,"March 2, 1987","se","6","",5e+06,10,29,78,6,1232,114,262,0.435,45,130,0.346,69,132,0.523,0.521,26,37,0.703,59,213,272,71,25,17,39,122,299
